اداره,وحده,من الاولي الي الرابعه,الخامسه والمنشطه,بي سي جي
الزقازيق,ميت ابوعلى,السبت,السبت 1، السبت 3,السبت 4
الزقازيق,نشوه,الأربعاء,الأربعاء 1، الأربعاء 3,الأربعاء 4
الزقازيق,هريه رزنه,السبت، الإثنين,الإثنين,السبت 4
الصالحية الجديدة,طب أسرة التلاتة,الإثنين,الإثنين 1، الإثنين 3,الإثنين 4
الصالحية الجديدة,طب أسرة سوادة,السبت 3، السبت 5، الإثنين، الثلاثاء,السبت، الثلاثاء 4,السبت 2، السبت 4
الصالحية الجديدة,طب أسرة عرب الروض,الإثنين 2، الأربعاء 4,الأربعاء 4,
الصالحية الجديدة,طب اسرة الخطارة,السبت، الثلاثاء,السبت 2، السبت 4,الثلاثاء 4
الصالحية الجديدة,طب اسرة الشيخ زايد,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2,
الصالحية الجديدة,طب اسرة الصالحية القروى,السبت، الثلاثاء، الخميس,السبت,الثلاثاء 2، الثلاثاء 4
الصالحية الجديدة,طب اسرة غصن الزيتون,الأحد، الثلاثاء,الثلاثاء 1، الثلاثاء 4,الثلاثاء 3
الصالحية الجديدة,طب اسرة محمد على,الإثنين,الإثنين 1، الإثنين 3,
الصالحية الجديدة,طب اسرة ناحوم,الأربعاء,الأربعاء 1، الأربعاء 3,الأربعاء 4
الصالحية الجديدة,مركز طب أسرة الروضة,الإثنين، الأربعاء,الثلاثاء 2، الثلاثاء 4,الثلاثاء 1، الثلاثاء 3
الصالحية الجديدة,مركز طبي ابني بيتك,الإثنين 2، الإثنين 4,,
الصالحية الجديدة,مركز طبى الصالحية ثان,الثلاثاء,الثلاثاء 1، الثلاثاء 3,الثلاثاء 2
الصالحية الجديدة,مركز طبى الصالحيةاول,السبت، الأحد، الأربعاء,الأحد,السبت 1، السبت 4
الصالحية الجديدة,وحدة طب اسرة أبو نبيذ,الثلاثاء,الثلاثاء 1، الثلاثاء 4,
الصالحية الجديدة,وحدة طب اسرة العزازى,السبت، الأربعاء,الأربعاء 2، الأربعاء 4,السبت 1
الصالحية الجديدة,وحدة طب اسرة العلاوية,الأربعاء 4، الخميس 2,الأربعاء 4، الخميس 2,
العاشر من رمضان,الحى 15ج,الأحد، الإثنين,الأحد,
العاشر من رمضان,الحى 15ق,الثلاثاء,الثلاثاء,
العاشر من رمضان,الحى الرابع عشر ابنى بيتك,الإثنين، الثلاثاء، الأربعاء,الثلاثاء، الأربعاء,
العاشر من رمضان,الحى16,الإثنين، الثلاثاء,الإثنين,
العاشر من رمضان,مركز الحي (30),السبت,السبت,
العاشر من رمضان,مركز صحة الحي الحادي عشر,الخميس 1، الخميس 3,الخميس 1، الخميس 3,الخميس 3
العاشر من رمضان,مركز صحة الحي العاشر أ,الأحد 1، الأحد 3,الأحد 1، الأحد 3,
العاشر من رمضان,مركز طبى الحى الثانى عشر  ابنى بيتك,الثلاثاء، الأربعاء، الخميس,الثلاثاء، الخميس,الأربعاء
العاشر من رمضان,مركز طبى الحى العاشر ابنى بيتك,الإثنين، الثلاثاء,الإثنين، الثلاثاء,
